ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
65001	36.199379	-80.711117	35.396283	-79.235942	119 mi	1 hour 55 mins	119.374272832	118.423376552	119.749	127.85
65002	35.700119	-80.599144	35.361169	-78.839352	139 mi	2 hours 17 mins	138.870166316	139.849666209	126.644	150.933333333
65003	36.197783	-76.749811	35.022167	-83.667210	479 mi	7 hours 21 mins	482.6202912	455.882054862	476.131	477.716666667
65004	36.381451	-77.195249	35.317486	-83.870543	435 mi	7 hours 5 mins	464.902930063	450.124034993	459.502	479.166666667
65005	35.183104	-81.551274	35.231456	-80.072079	105 mi	1 hour 59 mins	109.275068273	125.547962927	105.145	132.783333333
65006	36.279555	-77.699235	35.901881	-76.314713	104 mi	1 hour 50 mins	121.979176904	113.831269732	122.164	118.333333333
65007	35.475749	-80.624357	34.497144	-79.183849	124 mi	2 hours 23 mins	144.999619365	162.496887469	128.034	170.016666667
65008	35.122648	-84.292240	35.212789	-82.737187	123 mi	2 hours 46 mins	155.96161511	178.232301574	123.518	175.866666667
65009	35.705352	-82.657216	35.237972	-80.996574	124 mi	2 hours 9 mins	132.915110453	132.450540722	126.34	141.966666667
65010	35.998362	-78.448424	36.353533	-76.903886	115 mi	2 hours 0 mins	120.724874222	130.454066952	120.888	134.583333333
65011	36.235119	-81.788503	36.015788	-82.287310	59.5 mi	1 hour 27 mins	59.3238252437	87.8004835797	60.263	100.116666667
65012	35.054162	-78.647704	35.822376	-77.141839	138 mi	2 hours 6 mins	140.715641841	138.327617276	138.175	148.683333333
65013	35.739473	-78.961707	36.499420	-78.806810	65.5 mi	1 hour 26 mins	77.0832184962	85.5907690605	75.81	94.4333333333
65014	34.530312	-78.513188	35.736923	-78.090328	116 mi	1 hour 57 mins	118.78039589	120.399974137	119.077	134.7
65015	35.343167	-82.452084	36.136304	-80.822263	143 mi	2 hours 23 mins	152.723604955	146.328721614	147.902	152.316666667
