ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
90001	35.827891	-76.784757	36.532473	-76.641281	63.5489764344	81.0671513583
90002	35.769405	-78.418503	33.898982	-78.552507	186.235730707	173.974176417
90003	35.953917	-81.031545	35.825154	-80.627710	36.8004028948	52.9304694827
90004	35.319763	-83.798887	36.427387	-76.848693	481.232225828	457.884652964
90005	35.785237	-78.130721	35.186531	-80.215263	175.200666375	190.997303035
90006	35.655411	-81.739851	35.342460	-82.540005	82.6116112223	87.5879039576
90007	35.300944	-82.466620	35.498411	-80.654163	138.417774826	136.998252111
90008	35.454148	-80.971025	35.976125	-79.193920	129.753940488	139.963439282
90009	35.465523	-83.040446	35.911298	-82.892268	48.2557037031	75.579552414
90010	35.549312	-75.468958	35.815787	-77.588032	152.799773758	159.251870123
90011	35.919659	-75.686378	35.874921	-82.542161	462.625027012	431.818497132
90012	35.010507	-80.807049	36.077227	-79.047880	154.51954278	148.590595023
90013	35.411132	-80.740284	36.400572	-78.968440	136.702958077	141.377761945
90014	35.901264	-78.609179	35.033284	-80.659904	181.003948789	169.821228709
90015	35.306820	-80.873933	36.538528	-80.751847	92.1698539315	92.6401646105
90016	36.438696	-76.592316	36.502621	-78.007552	97.5634863926	124.010937986
90017	36.507033	-77.893565	35.882887	-79.037775	93.25907152	102.558115907
90018	35.911102	-75.677400	35.853339	-77.433777	113.398996017	118.499091481
90019	35.563108	-82.689924	35.583112	-82.423473	17.802164221	22.8911466495
90020	36.292785	-77.495342	35.633323	-78.085675	68.1967288151	66.7997906259
90021	36.474379	-76.036590	35.853339	-77.433777	108.728263373	119.555851266
90022	36.453324	-81.074219	35.245036	-82.718828	191.998984259	193.123470449
90023	36.377939	-81.503277	36.095254	-81.161932	34.8446308257	46.4807060796
90024	35.845390	-81.459292	36.153778	-80.824119	70.653129857	75.0978236972
90025	35.712382	-78.331970	34.857139	-79.596544	140.625108473	135.735476543
90026	36.420619	-78.957908	35.576215	-77.331047	141.289248855	147.634193064
90027	35.574389	-78.914258	35.513567	-80.386122	137.282495416	140.270368421
90028	35.638218	-82.144187	36.136138	-80.687837	108.344321137	100.372774639
90029	35.409565	-77.830915	36.402176	-78.511676	122.342737755	131.732828335
90030	35.912737	-79.121202	35.786470	-77.860688	85.6069876518	91.6993331041
90031	35.525614	-78.586235	35.628602	-80.331660	153.957708288	143.627109876
90032	34.516889	-78.527004	34.813247	-77.991942	62.6962434136	70.6513368097
90033	34.973126	-79.733075	35.221996	-80.225160	48.0743619583	60.4729274462
90034	36.069139	-80.134513	36.522898	-78.120565	133.499275504	128.186604745
90035	35.334689	-81.513189	35.730201	-81.992575	62.5372884379	74.1287360853
90036	36.346599	-79.228420	35.484826	-80.481789	115.447547002	121.414766793
90037	36.028798	-80.988054	35.811370	-80.975947	23.0966972174	28.416373363
90038	35.757874	-77.512657	35.765662	-77.487644	1.70140066647	4.10512379026
90039	35.945441	-81.041444	36.453324	-81.074219	62.7759145284	78.8520281443
90040	36.129259	-79.619675	35.900906	-81.222537	106.005640297	106.537078922
90041	35.395072	-81.330870	35.308878	-82.185866	55.8057165032	67.3275726521
90042	35.384327	-81.348765	35.204649	-81.395133	17.2731564446	25.5203735294
90043	35.950329	-82.328942	35.874392	-82.183597	16.0995397753	26.601420929
90044	35.536133	-78.750041	35.345748	-79.746257	78.3950463399	92.6569958557
90045	35.923143	-77.556155	35.043781	-77.478738	72.6796747248	94.9778769841
90046	35.170502	-81.104931	35.567344	-82.957535	143.401251102	142.296189132
90047	35.536912	-82.857770	35.291238	-80.703115	156.682554493	153.585507778
90048	35.643679	-81.930009	36.153866	-81.245761	70.9276714749	84.1286451163
90049	35.747540	-81.735262	35.769002	-81.279723	33.4272602738	38.8854188994
90050	34.457444	-78.549796	35.248899	-80.572430	154.071221495	168.166409962
90051	36.123617	-79.628942	36.080394	-78.951401	47.0269077027	48.2539612379
90052	35.749322	-78.460112	34.937045	-80.524452	160.093361539	177.312305302
90053	35.866697	-77.116487	35.864857	-76.397963	47.9406376051	54.7332190455
90054	35.213086	-83.814664	35.553146	-75.468865	561.705508689	540.65086241
90055	35.211512	-80.003816	35.232512	-81.429985	103.342099435	112.900854406
90056	35.227018	-83.442351	36.180236	-76.073962	506.480514134	491.540487235
90057	35.645280	-82.518252	35.367161	-81.752109	76.7142497749	83.3303972546
90058	36.336492	-77.290686	35.308775	-76.563841	116.235508517	135.739046874
90059	34.738290	-76.780386	36.522606	-76.864577	145.09928975	170.825674989
90060	33.931937	-78.375274	35.755789	-77.585658	200.914418767	196.876315967
90061	35.914569	-81.192363	35.806588	-81.306562	15.0531918934	21.5088284252
90062	35.583456	-77.081185	34.703974	-78.889743	161.285264589	159.969705134
90063	34.906745	-78.228086	35.448184	-76.445228	173.626726947	187.872416218
90064	35.704783	-81.735233	35.926694	-82.292559	54.4792637108	74.9740214705
90065	35.305043	-78.781732	36.028115	-79.011059	63.0476053023	77.9885915374
90066	34.883133	-76.786681	36.013455	-78.505314	153.131763468	159.952526895
90067	35.479612	-80.776252	36.456641	-79.010023	152.405194454	152.371519
90068	35.436762	-76.786303	35.671245	-78.175302	93.0189956817	98.3184612046
90069	35.867269	-81.569861	35.652007	-82.152899	45.7181699342	51.9493927704
90070	36.509863	-78.887923	35.567575	-77.275836	154.016549487	165.689224923
90071	35.158190	-83.357983	35.922050	-82.054515	117.534340882	130.432982054
90072	34.300872	-78.567981	36.339890	-78.190344	192.27313992	191.996714117
90073	34.710697	-77.228424	35.952370	-76.299758	156.735413005	175.511060677
90074	35.204001	-80.111789	36.175189	-81.984389	179.487520566	216.237329579
90075	35.007899	-80.713743	36.469241	-81.155770	131.364008291	139.828482266
90076	35.524879	-77.694080	35.192575	-78.330764	57.3397656611	71.220135759
90077	36.480532	-81.476350	35.451483	-79.803991	162.600663516	170.604096491
90078	35.428325	-83.099860	35.708771	-81.915566	79.676403017	79.4469279468
90079	36.010900	-80.524658	36.002647	-81.977498	105.573421302	125.218765165
90080	35.872917	-78.222813	36.451961	-78.360218	62.6626218592	75.8355115006
90081	35.849145	-81.605919	35.318670	-82.185780	59.8356458332	77.2787676795
90082	35.756433	-79.474287	36.513117	-81.392732	147.561179068	155.095503833
90083	35.468013	-79.146661	35.867000	-80.601690	112.480960011	110.244028664
90084	35.945441	-81.041444	35.572749	-82.825706	126.535237547	137.396741697
90085	36.458607	-80.766223	35.509290	-79.478634	122.252204911	127.181277027
90086	35.580640	-78.633374	35.042308	-79.142794	69.8949160613	80.701609212
90087	35.352255	-75.510529	35.438213	-83.458323	546.12577833	523.617626907
90088	35.343364	-81.770232	36.264157	-81.783447	98.2171456854	133.612538948
90089	35.900838	-79.360341	35.562917	-80.831839	124.097809132	123.477577491
90090	36.205107	-79.768367	35.157372	-77.788391	166.601865836	171.267539129
90091	35.205290	-83.835634	35.689087	-81.993214	130.171641631	140.942353146
90092	36.537778	-79.448968	34.878802	-78.953510	149.242000952	163.074616393
90093	34.938886	-80.036799	35.443419	-79.241974	73.9645645132	86.9586634726
90094	33.998956	-78.452396	35.872956	-78.120152	184.658770568	173.386094804
90095	35.877753	-78.991183	36.314822	-78.365758	56.129675078	58.4842395808
90096	34.320827	-78.214054	35.253849	-77.612650	106.936143843	109.785288326
90097	35.014210	-79.832176	35.202699	-82.002231	156.004898981	183.675634818
90098	36.056367	-80.066995	36.043094	-78.362481	110.379144306	114.302483728
90099	34.741649	-78.571713	35.671428	-78.379261	83.8348658895	100.034402135
90100	34.457625	-78.419647	35.814609	-77.293397	181.441786729	169.435592205
90101	36.052855	-78.568615	35.428327	-80.705064	151.769525424	151.642295208
90102	35.347156	-83.204311	35.286922	-83.628028	45.6715302179	64.0121822931
90103	35.868208	-77.500988	35.992239	-76.975952	41.4481358609	39.4373661929
90104	36.444825	-80.411691	35.930397	-82.172507	170.286528656	177.838207355
90105	35.918295	-79.186701	36.350789	-77.144966	153.107073682	159.426122613
90106	35.936416	-78.267943	36.245040	-76.323356	133.800947385	129.380853136
90107	35.977944	-81.248690	36.528585	-79.109014	162.835831661	168.066525536
90108	35.711723	-82.585281	35.707123	-81.236366	92.0643066441	89.5465014207
90109	35.772672	-78.454758	35.867756	-80.603375	143.36250086	133.775547282
90110	34.153160	-77.883728	34.291732	-77.827839	12.3435762662	21.1473394981
90111	34.744134	-77.563929	34.830041	-79.122985	125.326238731	136.17062264
90112	35.659336	-81.163237	36.260530	-81.746236	68.9036566165	93.6793488593
90113	35.881747	-77.173331	35.707022	-76.139675	76.2337280776	86.7772750124
90114	36.425280	-78.081822	36.229633	-76.144777	170.768994727	178.103813932
90115	35.555985	-75.466789	35.239096	-82.735778	500.068957495	478.031651545
90116	35.734786	-81.919272	35.325479	-81.621340	44.1919786078	61.9881024203
90117	35.345879	-83.210802	35.617535	-82.081886	77.8182114951	85.4682584035
90118	36.140453	-79.661757	35.007383	-77.737774	173.802482624	164.239377481
90119	35.306861	-82.071752	36.165103	-81.179672	114.267731838	131.508692314
90120	35.767703	-78.453437	35.801158	-78.223339	17.0839060373	17.139647684
90121	36.485625	-76.134898	36.008591	-75.701761	51.0848297551	60.8867140429
90122	35.487415	-76.040138	36.309611	-76.168220	101.399188284	113.90848454
90123	35.715691	-81.430751	35.439210	-83.437797	133.73885268	131.985915447
90124	35.835365	-82.568227	35.181126	-82.738953	57.2183185139	69.1051087504
90125	34.766421	-79.581045	35.035435	-78.259879	106.461480325	111.773751645
90126	34.459624	-78.787974	35.213571	-79.623189	107.640032116	107.601853928
