ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
14664	35.225845	-80.800854	35.370140	-80.876435	14.1 mi	20 mins	14.0541524316	19.7078672533	14.109	21.1833333333
14665	35.312148	-80.793317	35.480334	-80.860989	15.8 mi	22 mins	16.1562297019	23.6956675614	15.833	21.6833333333
14666	35.063447	-80.765514	35.244421	-80.731715	18.8 mi	28 mins	18.7298939413	26.7878894429	15.869	24.75
14667	35.075298	-80.729854	35.075560	-80.854832	9.5 mi	14 mins	9.50042266449	13.5478622017	9.513	14.2333333333
14668	35.185141	-80.692352	35.089900	-80.705055	9.3 mi	20 mins	9.75790950112	17.5011512994	9.858	20.0666666667
14669	35.485477	-80.893268	35.263316	-80.869643	19.2 mi	23 mins	19.1483094331	23.1845351684	20.758	24.25
14670	35.263538	-80.740960	35.179849	-80.780557	8.1 mi	15 mins	7.91690708008	15.0189797422	8.055	13.7
14671	35.222536	-80.801895	35.298470	-80.962559	12.5 mi	21 mins	12.2928649036	21.3234559239	12.278	20.8666666667
14672	35.220609	-80.786552	35.131650	-80.861756	9.2 mi	22 mins	9.33478272028	20.1455248167	9.684	17.4833333333
14673	35.077554	-80.859487	35.150793	-80.647532	19.0 mi	22 mins	18.9322263984	21.6752979858	19.004	24.2333333333
14674	35.127219	-80.853384	35.205822	-80.894369	7.9 mi	15 mins	7.9014985945	13.3636239447	7.288	12.5833333333
14675	35.126927	-80.813684	35.390344	-80.753058	25.4 mi	38 mins	28.0213172056	38.5809171672	24.014	36.2666666667
14676	35.284676	-80.977062	35.066166	-80.728370	27.5 mi	33 mins	27.4178439235	32.2432788664	27.54	33.7666666667
14677	35.207608	-80.762210	35.150930	-80.798819	5.6 mi	13 mins	5.58384017861	11.5908951192	6.603	10.8166666667
14678	35.219450	-80.780604	35.078571	-80.815094	13.0 mi	23 mins	12.9220339808	22.2670096453	12.966	19.2
14679	35.219717	-80.977182	35.156732	-80.755728	17.1 mi	26 mins	18.742685098	25.8653067577	17.373	25.6666666667
14680	35.181719	-80.743707	35.254735	-80.896457	12.1 mi	17 mins	11.8389586299	16.6367806606	12.155	16.6333333333
14681	35.215422	-80.832991	35.170283	-80.844950	3.9 mi	9 mins	3.86152316785	9.29212268201	5.441	8.81666666667
14682	35.112977	-80.804772	35.219270	-80.847026	9.5 mi	19 mins	9.45554647295	17.9158286037	9.475	17.2833333333
14683	35.104052	-80.855782	35.413390	-80.834675	27.9 mi	32 mins	27.8174476342	32.3681934648	25.818	31.85
14684	35.270071	-80.756223	35.174702	-80.713101	11.0 mi	20 mins	11.0524856809	21.2541748794	11.714	19.7166666667
14685	35.341346	-80.807032	35.126402	-80.777557	19.1 mi	33 mins	21.6911431695	33.2989830435	18.338	30.5166666667
14686	35.179426	-80.860289	35.292989	-80.838256	12.2 mi	17 mins	9.90134086525	14.7776952815	9.921	14.85
14687	35.243751	-80.793937	35.314547	-80.873132	9.2 mi	17 mins	10.2428830243	16.1500572886	10.283	15.0666666667
14688	35.206505	-80.735465	35.077349	-80.868475	14.0 mi	30 mins	21.92634937	28.5531740444	13.694	25.2833333333
14689	35.186157	-80.793406	35.084482	-80.706843	10.3 mi	20 mins	10.991051235	20.2271042053	12.817	19.1666666667
14690	35.167070	-80.866727	35.146434	-80.662666	16.4 mi	31 mins	26.4575928347	30.8999264717	18.532	30.3833333333
14691	35.242537	-80.779899	35.221663	-80.659899	9.1 mi	18 mins	8.75177371543	15.7815234386	10.159	16.05
14692	35.091744	-80.732956	35.126060	-80.774156	5.3 mi	12 mins	5.30267270269	10.5198007355	8.314	14.6166666667
14693	35.043651	-80.813189	35.286928	-80.950429	24.3 mi	29 mins	24.143455037	27.0001956316	24.278	28.7
14694	35.325072	-80.785291	35.104071	-80.801185	20.9 mi	38 mins	29.8366384289	39.8594579785	20.38	33.65
14695	35.258153	-80.852761	35.361311	-80.855603	9.3 mi	14 mins	9.28486328816	10.8881017339	9.321	11.3166666667
14696	35.155279	-80.761450	35.121877	-80.871265	8.7 mi	19 mins	8.54656089367	18.4904436295	8.702	19.3166666667
14697	35.214864	-80.988915	35.075658	-81.023874	12.9 mi	21 mins	12.9312913617	20.4847253022	12.966	25.1333333333
14698	35.344015	-80.807560	35.212219	-80.713612	13.4 mi	23 mins	13.3637606909	23.9062947471	14.868	24.2833333333
14699	35.432110	-80.860968	35.246544	-80.907480	16.0 mi	20 mins	15.9531321903	18.9983620223	16.013	20.3333333333
14700	35.434536	-80.872883	35.215151	-80.678071	26.9 mi	33 mins	26.8693556174	33.6211962394	26.944	32.9666666667
14701	35.389469	-80.773160	35.060612	-80.740278	34.6 mi	39 mins	36.0576950452	41.3215152156	35.344	43.3
14702	35.179202	-80.778818	35.346239	-80.769478	14.7 mi	26 mins	19.4992606534	24.2880272649	15.652	22.4333333333
14703	35.249528	-80.840854	35.136693	-80.872562	10.4 mi	18 mins	10.2799707248	16.7033635262	9.435	15.9
14704	35.346491	-80.783826	35.203489	-80.782243	13.6 mi	22 mins	13.5995437695	21.9779137263	11.612	22.0833333333
14705	35.480484	-80.861033	35.103383	-81.027799	35.1 mi	41 mins	35.2241825327	44.690877349	35.123	40.95
14706	35.121033	-80.780194	35.034877	-80.849397	9.9 mi	16 mins	9.57222149089	14.585729988	11.489	14.5666666667
14707	35.412085	-80.883638	35.495342	-80.825854	11.9 mi	19 mins	11.89162558	19.28061064	11.927	19.7166666667
14708	35.245604	-80.791297	35.261873	-80.820378	3.3 mi	7 mins	2.53166005685	5.68933610525	3.031	5.33333333333
14709	35.436205	-80.817854	35.236560	-80.863647	17.3 mi	22 mins	17.4599290113	21.6325453011	17.94	23.15
14710	35.049232	-80.826835	35.338324	-80.957911	28.4 mi	33 mins	28.3154546129	33.0598179583	28.414	33.5333333333
14711	35.064879	-80.774545	35.318266	-80.729830	26.3 mi	27 mins	26.5750850194	27.2092747538	26.34	27.15
14712	35.098962	-80.747780	35.337193	-80.817677	22.4 mi	35 mins	22.7671675941	34.3617720505	22.593	33.0666666667
14713	35.219297	-80.753100	35.249106	-80.826982	8.0 mi	12 mins	8.00430359412	12.222756537	8.051	10.9833333333
14714	35.419369	-80.909277	35.132739	-80.935431	27.5 mi	32 mins	27.9830146188	31.623983722	25.596	33.2
14715	35.230409	-80.825264	35.242059	-80.882858	5.3 mi	9 mins	4.86630436597	8.16601677829	4.904	8.31666666667
14716	35.426190	-80.935916	35.026739	-80.850020	37.6 mi	44 mins	36.0379438976	42.6931149602	37.487	40.8166666667
14717	35.170754	-80.608115	35.031282	-80.819602	18.5 mi	22 mins	20.1642715892	22.9870460904	20.216	25.1333333333
14718	35.176878	-80.732294	35.121625	-80.990842	25.6 mi	37 mins	26.5569202868	37.1546941758	24.625	36.1166666667
14719	35.281750	-80.737266	35.150417	-80.679860	11.9 mi	21 mins	11.8352860616	20.0903843185	13.135	20.4666666667
14720	35.281229	-80.861321	35.224892	-80.849914	5.8 mi	9 mins	5.75547382011	9.06829553712	5.804	8.78333333333
14721	35.211972	-80.657290	35.132433	-80.786422	12.1 mi	23 mins	12.1162534415	21.4800785029	13.185	20.3333333333
14722	35.434715	-80.859334	35.242324	-80.884435	15.7 mi	19 mins	15.6054914678	18.7779720624	15.664	20.7
14723	35.078251	-80.849222	35.326384	-80.784395	25.7 mi	31 mins	25.5759287434	30.9428669533	24.819	29.8333333333
14724	35.135399	-80.701183	35.341122	-80.873942	22.3 mi	33 mins	21.3872381847	31.9207265574	22.575	31.7666666667
14725	35.415004	-80.831659	35.191130	-80.702981	23.7 mi	30 mins	23.5943567474	30.0987308637	23.709	29.15
14726	35.089784	-80.810483	35.381062	-80.792424	29.4 mi	35 mins	29.3307292523	35.1019309289	29.406	35.2833333333
14727	35.128944	-80.850207	35.235283	-80.816919	9.0 mi	20 mins	8.66913007672	18.2927897151	9.696	16.7333333333
14728	35.236835	-80.685382	35.365911	-80.783230	16.2 mi	22 mins	16.6520594498	21.6947050264	16.271	26.9
14729	35.444057	-80.852417	35.140130	-80.918545	24.8 mi	27 mins	24.7917281088	27.7379216197	25.213	27.8333333333
14730	35.322910	-80.947886	35.387243	-80.916593	8.2 mi	13 mins	8.17346735224	13.2519764362	8.197	14.8833333333
14731	35.139336	-80.680060	35.311046	-80.743092	18.6 mi	23 mins	18.562993225	22.4754299375	18.628	22.8
14732	35.269435	-80.689164	35.173240	-80.715241	8.9 mi	16 mins	9.42913539656	17.5215097911	8.883	19.45
14733	35.210807	-80.851059	35.203234	-80.848693	0.8 mi	3 mins	0.747656197469	2.64589434393	0.834	3.23333333333
14734	35.193699	-80.723468	35.128160	-80.898401	18.0 mi	27 mins	18.0201259433	26.1630844913	18.021	25.6333333333
14735	35.101309	-80.783865	35.160577	-80.929453	13.1 mi	21 mins	12.9429641024	19.9925971269	13.063	19.1666666667
14736	35.241488	-80.733400	35.220249	-80.917286	13.6 mi	21 mins	13.5487890344	20.9719995149	13.612	19.35
14737	35.375772	-80.919701	35.326891	-80.738616	13.6 mi	23 mins	14.5681519615	23.2744230358	14.597	23.4
14738	35.122164	-80.693007	35.225772	-80.879112	14.6 mi	21 mins	14.5660735627	20.9255285526	14.648	18.85
14739	35.116463	-80.748019	35.396816	-80.920175	28.9 mi	41 mins	27.1101242749	39.570607914	27.001	39.0
14740	35.489024	-80.881730	35.110824	-80.864056	29.9 mi	37 mins	29.6397413612	36.9143516185	29.84	35.9333333333
14741	35.101130	-81.032692	35.278034	-80.713568	29.3 mi	39 mins	30.7407140994	37.6556583268	27.798	38.2666666667
14742	35.380989	-80.872640	35.150327	-80.684064	25.6 mi	34 mins	25.3815463756	36.2499942191	27.224	35.2
14743	35.146435	-80.978047	35.088506	-80.985706	5.1 mi	10 mins	5.14341902433	9.92512430663	5.117	9.65
14744	35.223026	-80.851480	35.415855	-80.927029	19.0 mi	24 mins	16.8495945805	23.3493065564	19.051	23.7833333333
14745	35.218426	-80.748890	35.215429	-80.876830	10.1 mi	15 mins	10.149216768	14.7179229798	10.057	13.8
14746	35.446360	-80.903771	35.193946	-80.717167	26.9 mi	35 mins	25.962761795	32.7543228849	26.175	32.3166666667
14747	35.101364	-81.025789	35.135513	-80.697904	28.6 mi	38 mins	28.4929767211	38.7814021887	28.586	38.15
