ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
70000	35.427916	-80.858494	35.146843	-80.801729	22.2839893765	30.3843454805
70001	35.050707	-80.846721	35.355947	-80.767166	30.2689227325	36.6648815202
70002	35.167097	-80.857767	35.172603	-80.873777	1.15242351997	4.08303675717
70003	35.124986	-80.800944	35.070083	-80.770680	6.6653201607	14.7256267486
70004	35.214478	-80.760358	35.160751	-80.766626	5.03854670637	11.5289489575
70005	35.132321	-80.750516	35.378212	-80.915154	23.4926365389	33.7239850772
70006	35.045484	-80.863339	35.082876	-80.908058	5.56465843573	10.8032182257
70007	35.131265	-80.993433	35.406975	-80.777775	28.8857256539	36.2097858559
70008	35.288590	-80.863810	35.297884	-80.883197	1.74180719456	3.93741010845
70009	35.161237	-80.800456	35.131367	-80.829617	3.8639028886	8.82821269475
70010	35.179891	-80.855739	35.212899	-80.844225	2.93238438694	6.79332697669
70011	35.222538	-80.716403	35.071170	-81.003207	27.2314648529	35.6552003556
70012	35.272802	-80.790810	35.329235	-80.806765	5.68178929091	11.9137734057
70013	35.308040	-80.891449	35.036873	-80.859753	24.9036343993	33.1685153269
70014	35.169726	-80.673979	35.210315	-80.673928	4.67519226138	9.18544147251
70015	35.124378	-80.862584	35.401530	-80.816700	24.7662611505	32.2645293427
70016	35.493762	-80.911328	35.472882	-80.896185	2.60763027581	6.95954034791
70017	35.096090	-80.771026	35.121147	-80.782421	2.46761300224	6.46874710676
70018	35.501311	-80.846375	35.258821	-80.684482	29.8547998719	36.813657674
70019	35.179878	-80.865865	35.163399	-80.865900	1.98619453768	5.76531765949
70020	35.141718	-80.697763	35.482112	-80.859313	30.3529076869	37.6045981148
70021	35.405682	-80.902286	35.187335	-80.735318	23.0140860225	28.1847210828
70022	35.078076	-80.895696	35.313369	-80.725621	24.9279185943	35.4427106775
70023	35.153493	-80.757268	35.423111	-80.830065	23.3337224613	31.224113075
70024	35.264643	-80.956077	35.230278	-80.900682	6.781553711	12.7461867607
70025	35.139965	-80.901337	35.212046	-80.609933	29.2574125006	31.5953376148
70026	35.324496	-80.963458	35.333436	-80.978968	1.99050578165	5.60207316865
70027	35.320834	-80.695853	35.038750	-80.805053	29.7124581517	30.5696612727
70028	35.211381	-80.620870	35.145923	-80.926771	28.7748322337	30.90469085
70029	35.103282	-80.964574	35.136443	-81.009495	6.11000154683	10.7685788871
70030	35.218332	-80.608726	35.478785	-80.882943	38.6210029552	40.5677518412
70031	35.198377	-80.845569	35.161905	-80.896250	5.96977413378	11.3069869382
70032	35.459738	-80.849045	35.498344	-80.844743	3.67956016745	8.06961824574
70033	35.075704	-80.989028	35.461809	-80.784325	35.689969473	42.4410484212
70034	35.250853	-80.931410	35.192106	-80.666796	20.7457161619	29.496611733
70035	35.133629	-80.689071	35.069286	-81.020258	29.2015430402	34.2255723059
70036	35.047017	-80.831535	35.069141	-80.821605	3.04200394609	5.75247476905
70037	35.070146	-80.760283	35.138924	-81.044326	22.1670352332	28.7778897606
70038	35.121899	-80.970599	35.239848	-80.640956	32.7187606553	36.3174085546
70039	35.097835	-80.801308	35.468820	-80.931752	38.5204852345	47.4808026171
70040	35.168852	-80.605177	35.423234	-80.794847	26.1611693283	30.1580078179
70041	35.184754	-80.787629	35.163780	-80.823153	3.42045609467	7.75145597413
70042	35.082057	-80.720745	35.419157	-80.901922	33.2835518159	45.3813657684
70043	35.244800	-80.864793	35.241027	-80.883793	1.47817232907	4.40218424188
70044	35.484590	-80.895457	35.173650	-80.845947	26.2134463119	30.8776989371
70045	35.414627	-80.835242	35.081746	-80.856239	28.5394186401	33.6387453573
70046	35.307129	-80.710463	35.015439	-80.825787	31.4111176878	34.5858335686
70047	35.042571	-80.872659	35.025366	-80.814631	4.74222108951	10.6006573168
70048	35.176126	-80.815734	35.160044	-80.795165	1.96284822185	3.80863669761
70049	35.484779	-80.833560	35.066001	-80.730213	42.9577418407	52.7723719552
70050	35.076039	-80.727037	35.286913	-80.979327	27.2289197103	31.8368934854
70051	35.139893	-80.875098	35.480040	-80.912043	28.729512997	35.2405320675
70052	35.290298	-80.881407	35.318952	-80.902433	3.39429903679	6.19924489624
70053	35.397918	-80.882627	35.401766	-80.912541	2.59423285064	5.11877105527
70054	35.465460	-80.785881	35.160196	-80.921064	28.355706844	36.7708573263
70055	35.198508	-80.645776	35.111904	-80.969698	30.5385486923	33.5619032686
70056	35.182418	-80.857002	35.167939	-80.796342	5.58007780425	11.6083016614
70057	35.079320	-80.811251	35.341428	-80.702216	30.7926971909	30.3668165249
70058	35.162482	-80.750898	35.448024	-80.881009	23.8777679609	29.5908697588
70059	35.191160	-80.841062	35.203684	-80.555236	20.6914895308	32.896044044
70060	35.152727	-80.768004	35.145931	-80.746357	2.88407528027	7.78261834353
70061	35.436301	-80.898023	35.125822	-80.672258	30.9920728453	40.8065553989
70062	35.274241	-80.734445	35.069469	-81.033995	31.1400680427	38.955845376
70063	35.490640	-80.910938	35.186264	-80.838412	24.6284471501	31.2961404226
70064	35.323882	-80.803462	35.376151	-80.779346	4.99438579374	10.0625558887
70065	35.472050	-80.858555	35.058492	-80.789373	36.5559747377	41.39342423
70066	35.213023	-80.737818	35.171754	-80.742039	5.42515063775	12.1797398955
70067	35.048991	-81.037031	35.070836	-81.024764	2.46923840865	4.72358200776
70068	35.049605	-80.815905	35.319638	-80.814698	26.4572957598	32.4473258711
70069	35.213167	-80.820847	35.225777	-80.831872	1.43851004146	4.17975140799
70070	35.068257	-80.767011	35.477518	-80.863776	39.3019569521	43.8159816694
70071	35.440248	-80.846853	35.096505	-80.972322	29.390485617	34.6756050104
70072	35.448533	-80.854871	35.160710	-80.723454	25.9130369654	33.2551046934
70073	35.087987	-80.710637	35.314999	-80.870319	22.0806982601	33.6412692875
70074	35.164994	-80.768070	35.120960	-80.783560	4.75182151437	9.58677447331
70075	35.077694	-80.759428	35.073174	-81.032058	23.2600557802	28.0023985647
70076	35.246195	-81.011251	35.194559	-80.635936	33.0609526907	33.799128386
70077	35.352668	-80.873215	35.320450	-80.825211	5.07539456022	10.5273908183
70078	35.134815	-80.933422	35.454420	-80.809543	30.6351367563	32.3202783389
70079	35.349120	-80.704607	35.342773	-80.702128	0.583833152787	2.00035047088
70080	35.316730	-80.952134	35.106121	-80.768661	27.3736984308	33.5585906288
70081	35.467756	-80.793434	35.131544	-80.936280	33.2009455727	38.7151464247
70082	35.481753	-80.859487	35.201137	-80.731365	26.2574150881	31.1702750747
70083	35.076055	-80.874758	35.384701	-80.763562	28.9826083975	34.8034056198
